frame,detected,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,shoulder_line_tilt,hip_line_tilt,hip_to_hand_ratio
1,False,,,,,,,,,
2,False,,,,,,,,,
3,False,,,,,,,,,
4,False,,,,,,,,,
5,False,,,,,,,,,
6,False,,,,,,,,,
7,False,,,,,,,,,
8,False,,,,,,,,,
9,False,,,,,,,,,
10,False,,,,,,,,,
11,False,,,,,,,,,
12,True,126.1328195322435,74.25504341227364,139.20035180374435,2.23500734079017,144.30019622948225,91.32536460343496,-24.761254184566948,-25.32965453933001,0.9234661856529014
13,True,141.29122892391007,59.31992458567927,168.83302764589524,104.51870049443016,146.7490005725808,89.126697611156,-22.447065955600205,-25.098072697257336,0.8756117513601396
14,True,151.11605800085772,36.36837242806211,161.5235931040032,96.06067510553761,147.58227585859618,83.473109885635,-19.688810963276126,-26.737320384118377,0.8924837804472405
15,True,149.73122860382912,27.84801197322939,164.89050833755982,98.1735062831834,151.4903764268608,84.81503852667286,-17.836447272421015,-26.832509071864667,0.9249523814204407
16,True,138.74843189027766,19.31436170768533,165.79062231902833,75.30107440084076,153.23050644633193,86.51172872604113,-17.159308680848007,-27.052054578106972,0.9186086710952456
17,True,136.2712278690775,25.373619177983336,167.33830573155862,66.78996350531452,154.8995549447318,88.4236819980426,-16.973901704026844,-27.06899149850968,0.9230650424565104
18,True,133.79643319347034,41.97836929763196,168.4936733477088,62.53145212148315,155.99560274665515,89.97489887865041,-17.1410751154804,-26.82032787405137,0.9189583237215958
19,True,136.00192353338394,71.46211574967496,168.74686271031212,61.59236789718573,157.26282727229923,91.72485021205519,-17.213390204809723,-27.119313482818658,0.9126119692006524
20,True,142.35087526676824,69.58271644598422,169.85786669561375,60.99539951905628,159.35980837789432,92.61067301580867,-16.69089859128536,-27.250297560525706,0.9150408109904955
21,True,141.6654102448837,84.29389810920628,171.64275301307327,61.024177484110446,160.58625321787696,94.46145495645324,-16.515068434468855,-27.47612679875645,0.9077730699955626
22,True,139.87346754806703,89.98224795007187,174.2420389367308,61.98366482173313,163.2967982638579,95.77260540208063,-15.896267815743236,-27.892831692527118,0.907963107724573
23,True,136.00027487127366,85.70029374641146,175.71687055669173,62.92895283045548,165.43858385683885,97.52208639570522,-15.900508292349228,-28.970052280324904,0.9065277838957629
24,True,135.72334347751482,105.07773950237024,176.9166580520357,64.96059956155332,167.0044694936958,99.57746046078408,-16.139920666481352,-30.30824491051837,0.900981406465836
